study	n	trial	dose	time	co2_ratio
Meineke1993	10	1	50	5	2.84E-06
Meineke1993	10	1	50	10	4.81E-04
Meineke1993	10	1	50	16	9.40E-04
Meineke1993	10	1	50	20	1.05E-03
Meineke1993	10	1	50	25	9.54E-04
Meineke1993	10	1	50	31	8.04E-04
Meineke1993	10	1	50	39	8.43E-04
Meineke1993	10	1	50	51	5.45E-04
Meineke1993	10	1	50	60	4.67E-04
Meineke1993	10	1	50	75	3.81E-04
Meineke1993	10	1	50	90	3.07E-04
Meineke1993	10	1	50	105	2.47E-04
Meineke1993	10	1	50	120	2.25E-04
Meineke1993	10	1	50	149	1.65E-04
Meineke1993	10	1	50	179	1.22E-04
Meineke1993	10	1	50	209	8.17E-05
Meineke1993	10	1	50	241	6.57E-05

